127.0.0.1 - - [20/Jan/2020:09:41:35 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:41:37 +0530] "GET /EmployeeManagement/ HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:42:00 +0530] "GET /EmployeeManagement/employee.html HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:52:38 +0530] "GET /EmployeeManagement/login.html HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:52:44 +0530] "GET /EmployeeManagement/ HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:52:59 +0530] "GET /EmployeeManagement/employee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:53:11 +0530] "GET /EmployeeManagement/registration.html HTTP/1.1" 200 2986
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:53:47 +0530] "GET /EmployeeManagement/registration.html HTTP/1.1" 200 2850
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:01:56 +0530] "GET /EmployeeManagement/employee.html HTTP/1.1" 200 3909
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:01:56 +0530] "GET /EmployeeManagement/employee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:09:17 +0530] "GET /EmployeeManagement/employee.html HTTP/1.1" 200 3995
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:10:23 +0530] "GET /EmployeeManagement/employee.html HTTP/1.1" 200 3922
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:10:27 +0530] "GET /EmployeeManagement/employee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:11:24 +0530] "GET /EmployeeManagement/employee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:21:23 +0530] "GET /EmployeeManagement/employee.html HTTP/1.1" 200 4020
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:21:48 +0530] "GET /EmployeeManagement/employee.html HTTP/1.1" 200 4045
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:21:51 +0530] "GET /EmployeeManagement/employee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:28:12 +0530] "GET /EmployeeManagement/employee.html HTTP/1.1" 200 3936
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:33:04 +0530] "GET /EmployeeManagement/employee.html HTTP/1.1" 200 3954
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:33:37 +0530] "GET /EmployeeManagement/registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:33:47 +0530] "GET /EmployeeManagement/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:37:19 +0530] "GET /EmployeeManagement/employee.html HTTP/1.1" 200 4009
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:39:25 +0530] "GET /EmployeeManagement/employee.html HTTP/1.1" 200 4034
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:39:57 +0530] "GET /EmployeeManagement/employee.html HTTP/1.1" 200 4034
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:40:11 +0530] "GET /EmployeeManagement/employee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:40:52 +0530] "GET /EmployeeManagement/employee.html HTTP/1.1" 200 4034
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:40:54 +0530] "GET /EmployeeManagement/employee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:41:16 +0530] "GET /EmployeeManagement/employee.html HTTP/1.1" 200 4034
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:41:19 +0530] "GET /EmployeeManagement/employee.html HTTP/1.1" 304 -
